,total_effects_gp,total_effects,main_effects_gp,main_effects
app_coverage,0.12509708453967797,0.12909708453967797,-0.08705033351441502,-0.1005033351441502
app_trace_delay,0.31886774222511577,0.3288677422251158,0.0038109630138838044,0.0028109630138838044
compliance,0.1253397661425234,0.1153397661425234,-0.08610468429546463,-0.1010468429546463
go_to_school_prob,0.12391203804537974,0.11391203804537973,-0.0853505591131219,-0.0843505591131219
home_sar,0.12501615668554597,0.11501615668554598,-0.08687280611390465,-0.07687280611390465
manual_trace_delay,0.21200416887320994,0.21200416887320994,-0.023170752208082936,-0.027170752208082936
max_contacts,0.6456117579612144,0.7256117579612144,0.3050210150620031,0.4050210150620031
other_sar,0.12479051060177647,0.10479051060177647,-0.08655283942156389,-0.07655283942156389
p_under18,0.1247608664771144,0.1047608664771144,-0.08613648327243374,-0.07613648327243373
quarantine_length,0.392786174479889,0.452786174479889,0.17960778615836148,0.19960778615836147
testing_delay,0.2210319287390172,0.2110319287390172,-0.006796077182464151,-0.005796077182464151
wfh_prob,0.12520953553335648,0.12520953553335648,-0.08704169745126297,-0.09704169745126297
work_sar,0.12472714697572229,0.1147271469757223,-0.08651110958258275,-0.07651110958258275
